id,user_id,lesson_id,attemps,points,created,querytext
129,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12160,2,4,2020-10-07 13:40:04.917194,react
130,8788c8c1-2aeb-47ce-86fb-dabdec50ef86,12199,1,5,2020-10-07 13:40:37.903087,react
131,430bc7bd-67a0-48d9-8a36-806cce767c10,12426,2,1,2020-10-07 13:42:30.100580,Entregame buenas prácticas
132,430bc7bd-67a0-48d9-8a36-806cce767c10,12120,1,1,2020-10-07 13:42:38.801548,Entregame buenas prácticas
133,430bc7bd-67a0-48d9-8a36-806cce767c10,11175,1,4,2020-10-07 13:43:00.147452,Necesito ayuda con la planificación de tareas
134,430bc7bd-67a0-48d9-8a36-806cce767c10,12204,3,1,2020-10-07 13:43:26.380073,Quiero un tutorial para frontend movil
135,430bc7bd-67a0-48d9-8a36-806cce767c10,11601,2,1,2020-10-07 13:43:58.616595,Quiero un tutorial para frontend movil
136,430bc7bd-67a0-48d9-8a36-806cce767c10,11619,1,2,2020-10-07 13:44:06.959719,Quiero un tutorial para frontend movil
137,cc7baf7c-839b-41ea-b791-a416a3b0ee92,11664,5,3,2020-10-07 13:44:47.727072,Entregame buenas practicas
138,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12258,4,5,2020-10-07 13:46:56.268115,Entregame buenas practicas
139,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12280,3,5,2020-10-07 13:47:04.428585,Entregame buenas practicas
140,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12180,2,2,2020-10-07 13:47:15.961280,Entregame buenas practicas
141,cc7baf7c-839b-41ea-b791-a416a3b0ee92,12136,1,5,2020-10-07 13:47:28.027466,Entregame buenas practicas
142,6bee2cf7-a66e-48ee-8e59-cfec7e0f0066,12129,2,3,2020-10-07 13:48:05.953642,necesito ayuda con la planificacion de tareas
143,6bee2cf7-a66e-48ee-8e59-cfec7e0f0066,11175,1,4,2020-10-07 13:48:16.080960,necesito ayuda con la planificacion de tareas
144,6bee2cf7-a66e-48ee-8e59-cfec7e0f0066,12457,5,3,2020-10-07 13:48:36.094478,quiero un tutorial para frontend movil
145,6bee2cf7-a66e-48ee-8e59-cfec7e0f0066,12541,4,3,2020-10-07 13:48:45.205835,quiero un tutorial para frontend movil
146,6bee2cf7-a66e-48ee-8e59-cfec7e0f0066,12204,3,4,2020-10-07 13:48:54.656336,quiero un tutorial para frontend movil
147,6bee2cf7-a66e-48ee-8e59-cfec7e0f0066,11601,2,4,2020-10-07 13:49:10.488994,quiero un tutorial para frontend movil
148,6bee2cf7-a66e-48ee-8e59-cfec7e0f0066,11619,1,4,2020-10-07 13:49:37.161600,quiero un tutorial para frontend movil
149,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12258,5,5,2020-10-07 13:50:39.309997,Entregame buenas prácticas
150,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12280,4,1,2020-10-07 13:50:49.141837,Entregame buenas prácticas
151,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12180,3,3,2020-10-07 13:50:57.922853,Entregame buenas prácticas
152,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12426,2,2,2020-10-07 13:51:04.170968,Entregame buenas prácticas
153,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12120,1,3,2020-10-07 13:51:13.121015,Entregame buenas prácticas
154,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12209,5,1,2020-10-07 13:51:30.018224,Necesito ayuda con la planificación de tareas
155,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12220,4,1,2020-10-07 13:52:13.060611,Necesito ayuda con la planificación de tareas
156,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12441,3,1,2020-10-07 13:52:18.369024,Necesito ayuda con la planificación de tareas
157,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12129,2,5,2020-10-07 13:52:29.317730,Necesito ayuda con la planificación de tareas
158,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,11175,1,5,2020-10-07 13:52:37.586330,Necesito ayuda con la planificación de tareas
159,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12457,5,1,2020-10-07 13:53:00.457752,Quiero un tutorial para frontend movil
160,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12541,4,2,2020-10-07 13:53:10.285305,Quiero un tutorial para frontend movil
161,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,12204,3,1,2020-10-07 13:53:17.094505,Quiero un tutorial para frontend movil
162,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,11601,2,1,2020-10-07 13:53:38.276699,Quiero un tutorial para frontend movil
163,604ffbd8-f3b4-41b5-a0c7-e3e94c112e3e,11619,1,5,2020-10-07 13:53:45.004787,Quiero un tutorial para frontend movil
164,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12440,1,3,2020-10-07 18:00:56.425644,ayuda
165,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11619,1,4,2020-10-07 18:03:10.037321,Quiero un tutorial para frontend movil
166,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11601,2,3,2020-10-07 18:04:32.367945,Quiero un tutorial para frontend movil
167,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12204,3,1,2020-10-07 18:04:44.683415,Quiero un tutorial para frontend movil
168,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12541,4,2,2020-10-07 18:05:03.115469,Quiero un tutorial para frontend movil
169,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12457,5,1,2020-10-07 18:05:11.278591,Quiero un tutorial para frontend movil
170,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11175,1,5,2020-10-07 18:07:26.572283,Necesito ayuda con la planificacion de tareas
171,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12129,2,3,2020-10-07 18:07:46.864226,Necesito ayuda con la planificacion de tareas
172,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12441,3,1,2020-10-07 18:08:08.346547,Necesito ayuda con la planificacion de tareas
173,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12220,4,1,2020-10-07 18:08:18.577680,Necesito ayuda con la planificacion de tareas
174,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12209,5,3,2020-10-07 18:08:31.117693,Necesito ayuda con la planificacion de tareas
175,836e51aa-9ccc-4105-94d2-f05ffd8338b0,11421,1,3,2020-10-07 18:11:06.440942,entregame buenas practicas
176,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12136,2,4,2020-10-07 18:11:21.155334,entregame buenas practicas
177,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12180,3,3,2020-10-07 18:11:43.791618,entregame buenas practicas
178,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12280,4,3,2020-10-07 18:12:08.970513,entregame buenas practicas
179,836e51aa-9ccc-4105-94d2-f05ffd8338b0,12258,5,4,2020-10-07 18:12:14.838616,entregame buenas practicas
180,ea321e1b-64ea-46a5-8f7e-8ceec9ad5299,11619,1,4,2020-10-08 12:57:38.966826,quiero un tutorial para frontend movil
181,ea321e1b-64ea-46a5-8f7e-8ceec9ad5299,11601,2,3,2020-10-08 12:58:18.342141,quiero un tutorial para frontend movil
182,ea321e1b-64ea-46a5-8f7e-8ceec9ad5299,12204,3,5,2020-10-08 12:58:37.578916,quiero un tutorial para frontend movil
183,ea321e1b-64ea-46a5-8f7e-8ceec9ad5299,12541,4,3,2020-10-08 12:58:53.498601,quiero un tutorial para frontend movil
184,ea321e1b-64ea-46a5-8f7e-8ceec9ad5299,12457,5,4,2020-10-08 12:59:07.379605,quiero un tutorial para frontend movil
185,ea321e1b-64ea-46a5-8f7e-8ceec9ad5299,11175,1,4,2020-10-08 13:03:14.556977,necesito ayuda con la planificacion de tareas
186,ea321e1b-64ea-46a5-8f7e-8ceec9ad5299,12129,2,3,2020-10-08 13:03:23.819129,necesito ayuda con la planificacion de tareas
187,bee4d83a-c688-49f6-a666-52363f1046e3,12130,1,1,2020-10-08 15:44:07.252492,ionic
188,17c761bb-14e1-469d-a3a9-3b542c57cdee,11175,1,1,2020-10-09 00:18:18.488460,ayuds
